{'raw_data_an_x': 150.9246826171875, 'raw_data_an_z': -95.25146484375, 'raw_data_an_y': 25.894775390625}
{'raw_data_an_x': 150.6005859375, 'raw_data_an_z': -0.0054931640625, 'raw_data_an_y': 25.927734375}
{'raw_data_an_x': -0.296630859375, 'raw_data_an_z': -0.406494140625, 'raw_data_an_y': 25.9222412109375}
{'raw_data_an_x': 149.6337890625, 'raw_data_an_z': -96.4984130859375, 'raw_data_an_y': 25.8892822265625}
{'raw_data_an_x': -0.032958984375, 'raw_data_an_z': -0.032958984375, 'raw_data_an_y': 25.8782958984375}
{'raw_data_an_x': -0.6536865234375, 'raw_data_an_z': -0.6756591796875, 'raw_data_an_y': 25.916748046875}
{'raw_data_an_x': 147.799072265625, 'raw_data_an_z': -98.4210205078125, 'raw_data_an_y': 26.004638671875}
{'raw_data_an_x': -0.439453125, 'raw_data_an_z': -99.173583984375, 'raw_data_an_y': -0.59326171875}
{'raw_data_an_x': 146.678466796875, 'raw_data_an_z': -0.0714111328125, 'raw_data_an_y': -0.472412109375}
{'raw_data_an_x': -0.1153564453125, 'raw_data_an_z': -100.5743408203125, 'raw_data_an_y': -0.3790283203125}
{'raw_data_an_x': -0.703125, 'raw_data_an_z': -101.129150390625, 'raw_data_an_y': -0.32958984375}
{'raw_data_an_x': 144.9041748046875, 'raw_data_an_z': -0.32958984375, 'raw_data_an_y': -0.3350830078125}
{'raw_data_an_x': -0.6591796875, 'raw_data_an_z': -101.97509765625, 'raw_data_an_y': -0.3680419921875}
{'raw_data_an_x': -0.054931640625, 'raw_data_an_z': -102.392578125, 'raw_data_an_y': -0.428466796875}
{'raw_data_an_x': 142.53662109375, 'raw_data_an_z': -0.2691650390625, 'raw_data_an_y': -0.4559326171875}
{'raw_data_an_x': -0.318603515625, 'raw_data_an_z': -103.590087890625, 'raw_data_an_y': -0.428466796875}
{'raw_data_an_x': 140.9326171875, 'raw_data_an_z': -0.318603515625, 'raw_data_an_y': -0.32958984375}
{'raw_data_an_x': -0.4559326171875, 'raw_data_an_z': -105.27099609375, 'raw_data_an_y': -0.1702880859375}
{'raw_data_an_x': 139.4384765625, 'raw_data_an_z': -106.19384765625, 'raw_data_an_y': -0.0274658203125}
{'raw_data_an_x': -0.5108642578125, 'raw_data_an_z': -0.1922607421875, 'raw_data_an_y': 26.751708984375}
{'raw_data_an_x': 137.911376953125, 'raw_data_an_z': -107.8363037109375, 'raw_data_an_y': 26.7462158203125}
{'raw_data_an_x': 137.0654296875, 'raw_data_an_z': -0.2252197265625, 'raw_data_an_y': 26.7462158203125}
{'raw_data_an_x': -0.17578125, 'raw_data_an_z': -109.13818359375, 'raw_data_an_y': 26.7572021484375}
{'raw_data_an_x': 135.41748046875, 'raw_data_an_z': -0.0933837890625, 'raw_data_an_y': 26.7352294921875}
{'raw_data_an_x': -0.406494140625, 'raw_data_an_z': -110.4730224609375, 'raw_data_an_y': -0.02197265625}
{'raw_data_an_x': 133.7255859375, 'raw_data_an_z': -0.1483154296875, 'raw_data_an_y': -0.0714111328125}
{'raw_data_an_x': 132.8192138671875, 'raw_data_an_z': -112.1099853515625, 'raw_data_an_y': -0.1153564453125}
{'raw_data_an_x': -0.24169921875, 'raw_data_an_z': -0.5712890625, 'raw_data_an_y': -0.1318359375}
{'raw_data_an_x': 131.1602783203125, 'raw_data_an_z': -0.17578125, 'raw_data_an_y': -0.098876953125}
{'raw_data_an_x': -0.3076171875, 'raw_data_an_z': -115.015869140625, 'raw_data_an_y': -0.0384521484375}
{'raw_data_an_x': 129.8638916015625, 'raw_data_an_z': -0.3900146484375, 'raw_data_an_y': -0.0439453125}
{'raw_data_an_x': -0.2142333984375, 'raw_data_an_z': -116.048583984375, 'raw_data_an_y': -0.1263427734375}
{'raw_data_an_x': 128.2928466796875, 'raw_data_an_z': -116.08154296875, 'raw_data_an_y': -0.2691650390625}
{'raw_data_an_x': -0.68115234375, 'raw_data_an_z': -0.703125, 'raw_data_an_y': -0.4833984375}
{'raw_data_an_x': -0.4339599609375, 'raw_data_an_z': -116.08154296875, 'raw_data_an_y': 25.9442138671875}
{'raw_data_an_x': -0.230712890625, 'raw_data_an_z': -116.400146484375, 'raw_data_an_y': 25.631103515625}
{'raw_data_an_x': 123.7994384765625, 'raw_data_an_z': -0.2581787109375, 'raw_data_an_y': 25.3948974609375}
{'raw_data_an_x': 122.7777099609375, 'raw_data_an_z': -117.7789306640625, 'raw_data_an_y': -0.1263427734375}
{'raw_data_an_x': -0.50537109375, 'raw_data_an_z': -0.63720703125, 'raw_data_an_y': -0.2471923828125}
{'raw_data_an_x': 121.0693359375, 'raw_data_an_z': -0.274658203125, 'raw_data_an_y': -0.3076171875}
{'raw_data_an_x': -0.4779052734375, 'raw_data_an_z': -120.7562255859375, 'raw_data_an_y': -0.362548828125}
{'raw_data_an_x': 119.871826171875, 'raw_data_an_z': -0.5657958984375, 'raw_data_an_y': -0.5218505859375}
{'raw_data_an_x': -0.406494140625, 'raw_data_an_z': -122.0086669921875, 'raw_data_an_y': 24.532470703125}
{'raw_data_an_x': 118.157958984375, 'raw_data_an_z': -122.3162841796875, 'raw_data_an_y': 24.1314697265625}
{'raw_data_an_x': 117.0208740234375, 'raw_data_an_z': -0.2142333984375, 'raw_data_an_y': -0.3021240234375}
{'raw_data_an_x': 115.850830078125, 'raw_data_an_z': -0.494384765625, 'raw_data_an_y': 22.9888916015625}
{'raw_data_an_x': -0.52734375, 'raw_data_an_z': -123.24462890625, 'raw_data_an_y': -0.1043701171875}
{'raw_data_an_x': -0.010986328125, 'raw_data_an_z': -0.010986328125, 'raw_data_an_y': -0.648193359375}
{'raw_data_an_x': 113.1591796875, 'raw_data_an_z': -0.59326171875, 'raw_data_an_y': 21.3848876953125}
{'raw_data_an_x': 112.56591796875, 'raw_data_an_z': -124.969482421875, 'raw_data_an_y': -0.0164794921875}
{'raw_data_an_x': -0.3076171875, 'raw_data_an_z': -0.3790283203125, 'raw_data_an_y': -0.1043701171875}
{'raw_data_an_x': -0.4669189453125, 'raw_data_an_z': -125.96923828125, 'raw_data_an_y': 21.148681640625}
{'raw_data_an_x': -0.59326171875, 'raw_data_an_z': -126.199951171875, 'raw_data_an_y': 21.2255859375}
{'raw_data_an_x': 111.46728515625, 'raw_data_an_z': -126.2493896484375, 'raw_data_an_y': -0.0439453125}
{'raw_data_an_x': -0.5548095703125, 'raw_data_an_z': -126.2274169921875, 'raw_data_an_y': -0.4888916015625}
{'raw_data_an_x': -0.340576171875, 'raw_data_an_z': -126.2274169921875, 'raw_data_an_y': 20.0115966796875}
{'raw_data_an_x': -0.10986328125, 'raw_data_an_z': -126.2164306640625, 'raw_data_an_y': -0.263671875}
{'raw_data_an_x': 107.0233154296875, 'raw_data_an_z': -126.2933349609375, 'raw_data_an_y': 18.775634765625}
{'raw_data_an_x': 106.0235595703125, 'raw_data_an_z': -126.4581298828125, 'raw_data_an_y': -0.1373291015625}
{'raw_data_an_x': -0.263671875, 'raw_data_an_z': -0.0933837890625, 'raw_data_an_y': -0.6317138671875}
{'raw_data_an_x': 104.578857421875, 'raw_data_an_z': -0.296630859375, 'raw_data_an_y': 17.3199462890625}
{'raw_data_an_x': 104.1009521484375, 'raw_data_an_z': -0.4833984375, 'raw_data_an_y': 17.1881103515625}
{'raw_data_an_x': -0.340576171875, 'raw_data_an_z': -127.28759765625, 'raw_data_an_y': 17.259521484375}
{'raw_data_an_x': -0.59326171875, 'raw_data_an_z': -127.6611328125, 'raw_data_an_y': 17.4517822265625}
{'raw_data_an_x': 103.33740234375, 'raw_data_an_z': -0.208740234375, 'raw_data_an_y': -0.6536865234375}
{'raw_data_an_x': 103.20556640625, 'raw_data_an_z': -128.759765625, 'raw_data_an_y': -0.6427001953125}
